"Notes","State","State Code","Year","Year Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"Alaska","02","2006","2006","25-29 years","25-29",Suppressed,46419,Suppressed
,"Alaska","02","2006","2006","30-34 years","30-34",Suppressed,43369,Suppressed
,"Alaska","02","2006","2006","35-39 years","35-39",11,46633,Unreliable
,"Alaska","02","2007","2007","10-14 years","10-14",Suppressed,51675,Suppressed
,"Alaska","02","2007","2007","15-19 years","15-19",14,54721,Unreliable
,"Alaska","02","2007","2007","20-24 years","20-24",18,54082,Unreliable
,"Alaska","02","2007","2007","25-29 years","25-29",20,48712,41.1
,"Alaska","02","2007","2007","30-34 years","30-34",13,43446,Unreliable
,"Alaska","02","2007","2007","35-39 years","35-39",13,46472,Unreliable
,"Alaska","02","2008","2008","10-14 years","10-14",Suppressed,50783,Suppressed
,"Alaska","02","2008","2008","15-19 years","15-19",17,53905,Unreliable
,"Alaska","02","2008","2008","20-24 years","20-24",25,54291,46.0
,"Alaska","02","2008","2008","25-29 years","25-29",15,51241,Unreliable
,"Alaska","02","2008","2008","30-34 years","30-34",15,44137,Unreliable
,"Alaska","02","2008","2008","35-39 years","35-39",12,46213,Unreliable
,"Alaska","02","2009","2009","15-19 years","15-19",10,53319,Unreliable
,"Alaska","02","2009","2009","20-24 years","20-24",27,52242,51.7
,"Alaska","02","2009","2009","25-29 years","25-29",17,52695,Unreliable
,"Alaska","02","2009","2009","30-34 years","30-34",11,45643,Unreliable
,"Alaska","02","2009","2009","35-39 years","35-39",14,45566,Unreliable
,"Alaska","02","2010","2010","10-14 years","10-14",Suppressed,50816,Suppressed
,"Alaska","02","2010","2010","15-19 years","15-19",19,52141,Unreliable
,"Alaska","02","2010","2010","20-24 years","20-24",30,54419,55.1
,"Alaska","02","2010","2010","25-29 years","25-29",16,55419,Unreliable
,"Alaska","02","2010","2010","30-34 years","30-34",13,47706,Unreliable
,"Alaska","02","2010","2010","35-39 years","35-39",Suppressed,45833,Suppressed
,"Alaska","02","2011","2011","15-19 years","15-19",Suppressed,51441,Suppressed
,"Alaska","02","2011","2011","20-24 years","20-24",29,56469,51.4
,"Alaska","02","2011","2011","25-29 years","25-29",21,57207,36.7
,"Alaska","02","2011","2011","30-34 years","30-34",Suppressed,49672,Suppressed
,"Alaska","02","2011","2011","35-39 years","35-39",12,44698,Unreliable
,"Alaska","02","2012","2012","10-14 years","10-14",Suppressed,50340,Suppressed
,"Alaska","02","2012","2012","15-19 years","15-19",10,49992,Unreliable
,"Alaska","02","2012","2012","20-24 years","20-24",26,60110,43.3
,"Alaska","02","2012","2012","25-29 years","25-29",16,58987,Unreliable
,"Alaska","02","2012","2012","30-34 years","30-34",24,52123,46.0
,"Alaska","02","2012","2012","35-39 years","35-39",14,45083,Unreliable
,"Alaska","02","2013","2013","10-14 years","10-14",Suppressed,50426,Suppressed
,"Alaska","02","2013","2013","15-19 years","15-19",17,49482,Unreliable
,"Alaska","02","2013","2013","20-24 years","20-24",26,63099,41.2
,"Alaska","02","2013","2013","25-29 years","25-29",27,60931,44.3
,"Alaska","02","2013","2013","30-34 years","30-34",22,53897,40.8
,"Alaska","02","2013","2013","35-39 years","35-39",10,45101,Unreliable
,"Alaska","02","2014","2014","15-19 years","15-19",18,49170,Unreliable
,"Alaska","02","2014","2014","20-24 years","20-24",21,62717,33.5
,"Alaska","02","2014","2014","25-29 years","25-29",24,62436,38.4
,"Alaska","02","2014","2014","30-34 years","30-34",20,55960,35.7
,"Alaska","02","2014","2014","35-39 years","35-39",11,45544,Unreliable
,"Alaska","02","2015","2015","10-14 years","10-14",Suppressed,49007,Suppressed
,"Alaska","02","2015","2015","15-19 years","15-19",20,48208,41.5
,"Alaska","02","2015","2015","20-24 years","20-24",37,62319,59.4
,"Alaska","02","2015","2015","25-29 years","25-29",25,63768,39.2
,"Alaska","02","2015","2015","30-34 years","30-34",13,56718,Unreliable
,"Alaska","02","2015","2015","35-39 years","35-39",13,46936,Unreliable
,"Alaska","02","2016","2016","10-14 years","10-14",Suppressed,50046,Suppressed
,"Alaska","02","2016","2016","15-19 years","15-19",13,48000,Unreliable
,"Alaska","02","2016","2016","20-24 years","20-24",35,57364,61.0
,"Alaska","02","2016","2016","25-29 years","25-29",29,62798,46.2
,"Alaska","02","2016","2016","30-34 years","30-34",22,57655,38.2
,"Alaska","02","2016","2016","35-39 years","35-39",19,49056,Unreliable
,"Alaska","02","2017","2017","10-14 years","10-14",Suppressed,49463,Suppressed
,"Alaska","02","2017","2017","15-19 years","15-19",18,46802,Unreliable
,"Alaska","02","2017","2017","20-24 years","20-24",27,54717,49.3
,"Alaska","02","2017","2017","25-29 years","25-29",27,62720,43.0
,"Alaska","02","2017","2017","30-34 years","30-34",27,57495,47.0
,"Alaska","02","2017","2017","35-39 years","35-39",14,50424,Unreliable
,"Alaska","02","2018","2018","10-14 years","10-14",Suppressed,49759,Suppressed
,"Alaska","02","2018","2018","15-19 years","15-19",17,46263,Unreliable
,"Alaska","02","2018","2018","20-24 years","20-24",25,53000,47.2
,"Alaska","02","2018","2018","25-29 years","25-29",26,61672,42.2
,"Alaska","02","2018","2018","30-34 years","30-34",22,57193,38.5
,"Alaska","02","2018","2018","35-39 years","35-39",10,51672,Unreliable
,"Alaska","02","2019","2019","10-14 years","10-14",Suppressed,49066,Suppressed
,"Alaska","02","2019","2019","15-19 years","15-19",27,45110,59.9
,"Alaska","02","2019","2019","20-24 years","20-24",27,51283,52.6
,"Alaska","02","2019","2019","25-29 years","25-29",27,60427,44.7
,"Alaska","02","2019","2019","30-34 years","30-34",24,57161,42.0
,"Alaska","02","2019","2019","35-39 years","35-39",18,52421,Unreliable
,"Arizona","04","1999","1999","10-14 years","10-14",Suppressed,364017,Suppressed
,"Arizona","04","1999","1999","15-19 years","15-19",34,359836,9.4
,"Arizona","04","1999","1999","20-24 years","20-24",44,350911,12.5
,"Arizona","04","1999","1999","25-29 years","25-29",67,371429,18.0
,"Arizona","04","1999","1999","30-34 years","30-34",76,367109,20.7
,"Arizona","04","1999","1999","35-39 years","35-39",78,393281,19.8
,"Arizona","04","2000","2000","10-14 years","10-14",Suppressed,378211,Suppressed
,"Arizona","04","2000","2000","15-19 years","15-19",45,367722,12.2
,"Arizona","04","2000","2000","20-24 years","20-24",84,362860,23.1
,"Arizona","04","2000","2000","25-29 years","25-29",54,374106,14.4
,"Arizona","04","2000","2000","30-34 years","30-34",64,368559,17.4
,"Arizona","04","2000","2000","35-39 years","35-39",70,392687,17.8
,"Arizona","04","2001","2001","10-14 years","10-14",10,392683,Unreliable
,"Arizona","04","2001","2001","15-19 years","15-19",48,371612,12.9
,"Arizona","04","2001","2001","20-24 years","20-24",56,388395,14.4
,"Arizona","04","2001","2001","25-29 years","25-29",63,371096,17.0
,"Arizona","04","2001","2001","30-34 years","30-34",68,377471,18.0
,"Arizona","04","2001","2001","35-39 years","35-39",65,389659,16.7
,"Arizona","04","2002","2002","10-14 years","10-14",12,402889,Unreliable
,"Arizona","04","2002","2002","15-19 years","15-19",42,378885,11.1
,"Arizona","04","2002","2002","20-24 years","20-24",88,401696,21.9
,"Arizona","04","2002","2002","25-29 years","25-29",95,376202,25.3
,"Arizona","04","2002","2002","30-34 years","30-34",62,385105,16.1
,"Arizona","04","2002","2002","35-39 years","35-39",77,384764,20.0
,"Arizona","04","2003","2003","10-14 years","10-14",Suppressed,411193,Suppressed
,"Arizona","04","2003","2003","15-19 years","15-19",40,389173,10.3
,"Arizona","04","2003","2003","20-24 years","20-24",88,407205,21.6
,"Arizona","04","2003","2003","25-29 years","25-29",58,383859,15.1
,"Arizona","04","2003","2003","30-34 years","30-34",82,387476,21.2
,"Arizona","04","2003","2003","35-39 years","35-39",82,381549,21.5
,"Arizona","04","2004","2004","10-14 years","10-14",Suppressed,418167,Suppressed
,"Arizona","04","2004","2004","15-19 years","15-19",49,402508,12.2
,"Arizona","04","2004","2004","20-24 years","20-24",90,411699,21.9
,"Arizona","04","2004","2004","25-29 years","25-29",71,398820,17.8
,"Arizona","04","2004","2004","30-34 years","30-34",65,389610,16.7
,"Arizona","04","2004","2004","35-39 years","35-39",93,382433,24.3
,"Arizona","04","2005","2005","10-14 years","10-14",13,425230,Unreliable
,"Arizona","04","2005","2005","15-19 years","15-19",65,419514,15.5
,"Arizona","04","2005","2005","20-24 years","20-24",85,415766,20.4
,"Arizona","04","2005","2005","25-29 years","25-29",79,418966,18.9
,"Arizona","04","2005","2005","30-34 years","30-34",82,392959,20.9
,"Arizona","04","2005","2005","35-39 years","35-39",68,393196,17.3
,"Arizona","04","2006","2006","10-14 years","10-14",10,433201,Unreliable
,"Arizona","04","2006","2006","15-19 years","15-19",60,435349,13.8
,"Arizona","04","2006","2006","20-24 years","20-24",95,421518,22.5
,"Arizona","04","2006","2006","25-29 years","25-29",72,441876,16.3
,"Arizona","04","2006","2006","30-34 years","30-34",61,396538,15.4
,"Arizona","04","2006","2006","35-39 years","35-39",93,408786,22.8
,"Arizona","04","2007","2007","10-14 years","10-14",Suppressed,439161,Suppressed
,"Arizona","04","2007","2007","15-19 years","15-19",39,448264,8.7
,"Arizona","04","2007","2007","20-24 years","20-24",96,428652,22.4
,"Arizona","04","2007","2007","25-29 years","25-29",102,450343,22.6
,"Arizona","04","2007","2007","30-34 years","30-34",84,400894,21.0
,"Arizona","04","2007","2007","35-39 years","35-39",76,418635,18.2
,"Arizona","04","2008","2008","10-14 years","10-14",Suppressed,442701,Suppressed
,"Arizona","04","2008","2008","15-19 years","15-19",56,458137,12.2
,"Arizona","04","2008","2008","20-24 years","20-24",66,435282,15.2
,"Arizona","04","2008","2008","25-29 years","25-29",71,452605,15.7
,"Arizona","04","2008","2008","30-34 years","30-34",55,406053,13.5
,"Arizona","04","2008","2008","35-39 years","35-39",83,422417,19.6
,"Arizona","04","2009","2009","10-14 years","10-14",Suppressed,445967,Suppressed
,"Arizona","04","2009","2009","15-19 years","15-19",49,461505,10.6
,"Arizona","04","2009","2009","20-24 years","20-24",72,438897,16.4
,"Arizona","04","2009","2009","25-29 years","25-29",80,447102,17.9
,"Arizona","04","2009","2009","30-34 years","30-34",70,412192,17.0
,"Arizona","04","2009","2009","35-39 years","35-39",95,420284,22.6
,"Arizona","04","2010","2010","10-14 years","10-14",Suppressed,448664,Suppressed
,"Arizona","04","2010","2010","15-19 years","15-19",40,461582,8.7
,"Arizona","04","2010","2010","20-24 years","20-24",95,442584,21.5
,"Arizona","04","2010","2010","25-29 years","25-29",87,439998,19.8
,"Arizona","04","2010","2010","30-34 years","30-34",79,416695,19.0
,"Arizona","04","2010","2010","35-39 years","35-39",79,415693,19.0
,"Arizona","04","2011","2011","10-14 years","10-14",12,453004,Unreliable
,"Arizona","04","2011","2011","15-19 years","15-19",52,450712,11.5
,"Arizona","04","2011","2011","20-24 years","20-24",92,463381,19.9
,"Arizona","04","2011","2011","25-29 years","25-29",87,443697,19.6
,"Arizona","04","2011","2011","30-34 years","30-34",87,427026,20.4
,"Arizona","04","2011","2011","35-39 years","35-39",95,406294,23.4
,"Arizona","04","2012","2012","10-14 years","10-14",Suppressed,453998,Suppressed
,"Arizona","04","2012","2012","15-19 years","15-19",53,447811,11.8
,"Arizona","04","2012","2012","20-24 years","20-24",81,474433,17.1
,"Arizona","04","2012","2012","25-29 years","25-29",97,443898,21.9
,"Arizona","04","2012","2012","30-34 years","30-34",90,433933,20.7
,"Arizona","04","2012","2012","35-39 years","35-39",82,405470,20.2
,"Arizona","04","2013","2013","10-14 years","10-14",Suppressed,455698,Suppressed
,"Arizona","04","2013","2013","15-19 years","15-19",35,450829,7.8
,"Arizona","04","2013","2013","20-24 years","20-24",95,484698,19.6
,"Arizona","04","2013","2013","25-29 years","25-29",97,441348,22.0
,"Arizona","04","2013","2013","30-34 years","30-34",71,440480,16.1
,"Arizona","04","2013","2013","35-39 years","35-39",108,408618,26.4
,"Arizona","04","2014","2014","10-14 years","10-14",12,457174,Unreliable
,"Arizona","04","2014","2014","15-19 years","15-19",53,454665,11.7
,"Arizona","04","2014","2014","20-24 years","20-24",88,489076,18.0
,"Arizona","04","2014","2014","25-29 years","25-29",91,452152,20.1
,"Arizona","04","2014","2014","30-34 years","30-34",100,445593,22.4
,"Arizona","04","2014","2014","35-39 years","35-39",88,415114,21.2
,"Arizona","04","2015","2015","10-14 years","10-14",12,457463,Unreliable
,"Arizona","04","2015","2015","15-19 years","15-19",63,460982,13.7
,"Arizona","04","2015","2015","20-24 years","20-24",95,487261,19.5
,"Arizona","04","2015","2015","25-29 years","25-29",103,466525,22.1
,"Arizona","04","2015","2015","30-34 years","30-34",107,447120,23.9
,"Arizona","04","2015","2015","35-39 years","35-39",84,423232,19.8
,"Arizona","04","2016","2016","10-14 years","10-14",Suppressed,459024,Suppressed
,"Arizona","04","2016","2016","15-19 years","15-19",56,466504,12.0
,"Arizona","04","2016","2016","20-24 years","20-24",96,484756,19.8
,"Arizona","04","2016","2016","25-29 years","25-29",107,484407,22.1
,"Arizona","04","2016","2016","30-34 years","30-34",100,448721,22.3
,"Arizona","04","2016","2016","35-39 years","35-39",90,433471,20.8
,"Arizona","04","2017","2017","10-14 years","10-14",16,465903,Unreliable
,"Arizona","04","2017","2017","15-19 years","15-19",62,467307,13.3
,"Arizona","04","2017","2017","20-24 years","20-24",101,484302,20.9
,"Arizona","04","2017","2017","25-29 years","25-29",131,499932,26.2
,"Arizona","04","2017","2017","30-34 years","30-34",114,455962,25.0
,"Arizona","04","2017","2017","35-39 years","35-39",93,444880,20.9
,"Arizona","04","2018","2018","10-14 years","10-14",17,476421,Unreliable
,"Arizona","04","2018","2018","15-19 years","15-19",81,473794,17.1
,"Arizona","04","2018","2018","20-24 years","20-24",114,492176,23.2
,"Arizona","04","2018","2018","25-29 years","25-29",130,517980,25.1
,"Arizona","04","2018","2018","30-34 years","30-34",103,467865,22.0
,"Arizona","04","2018","2018","35-39 years","35-39",108,458887,23.5
,"Arizona","04","2019","2019","10-14 years","10-14",15,477053,Unreliable
,"Arizona","04","2019","2019","15-19 years","15-19",51,478065,10.7
,"Arizona","04","2019","2019","20-24 years","20-24",102,495482,20.6
,"Arizona","04","2019","2019","25-29 years","25-29",142,525879,27.0
,"Arizona","04","2019","2019","30-34 years","30-34",117,481214,24.3
,"Arizona","04","2019","2019","35-39 years","35-39",105,466981,22.5
,"Arkansas","05","1999","1999","10-14 years","10-14",Suppressed,193029,Suppressed
,"Arkansas","05","1999","1999","15-19 years","15-19",26,200122,13.0
,"Arkansas","05","1999","1999","20-24 years","20-24",34,179622,18.9
,"Arkansas","05","1999","1999","25-29 years","25-29",27,176338,15.3
,"Arkansas","05","1999","1999","30-34 years","30-34",32,174957,18.3
,"Arkansas","05","1999","1999","35-39 years","35-39",34,199896,17.0
,"Arkansas","05","2000","2000","10-14 years","10-14",Suppressed,192935,Suppressed
,"Arkansas","05","2000","2000","15-19 years","15-19",14,198765,Unreliable
,"Arkansas","05","2000","2000","20-24 years","20-24",32,181598,17.6
,"Arkansas","05","2000","2000","25-29 years","25-29",36,176674,20.4
,"Arkansas","05","2000","2000","30-34 years","30-34",30,176171,17.0
,"Arkansas","05","2000","2000","35-39 years","35-39",31,200340,15.5
,"Arkansas","05","2001","2001","10-14 years","10-14",Suppressed,194805,Suppressed
,"Arkansas","05","2001","2001","15-19 years","15-19",23,195850,11.7
,"Arkansas","05","2001","2001","20-24 years","20-24",26,190858,13.6
,"Arkansas","05","2001","2001","25-29 years","25-29",37,171515,21.6
,"Arkansas","05","2001","2001","30-34 years","30-34",47,176768,26.6
,"Arkansas","05","2001","2001","35-39 years","35-39",43,194910,22.1
,"Arkansas","05","2002","2002","10-14 years","10-14",Suppressed,195632,Suppressed
